Date,Open,High,Low,Close,Adj Close,Volume
2017-05-01,5602.439941,5813.259766,5568.470215,5788.799805,5788.799805,42285390000
2017-06-01,5804.169922,5897.689941,5599.439941,5646.919922,5646.919922,48689910000
2017-07-01,5680.359863,5995.770020,5579.640137,5880.330078,5880.330078,36054580000
2017-08-01,5900.640137,5995.450195,5750.500000,5988.600098,5988.600098,41236800000
2017-09-01,6001.819824,6012.950195,5839.890137,5979.299805,5979.299805,38177120000
2017-10-01,5988.959961,6258.419922,5955.830078,6248.560059,6248.560059,41421370000
2017-11-01,6274.259766,6426.040039,6194.580078,6365.560059,6365.560059,41870380000
2017-12-01,6325.609863,6522.700195,6234.220215,6396.419922,6396.419922,38573170000
2018-01-01,6431.589844,7022.970215,6417.750000,6949.990234,6949.990234,56549490000
2018-02-01,6910.569824,7003.129883,6164.430176,6854.419922,6854.419922,43791970000
2018-03-01,6862.939941,7186.089844,6410.040039,6581.129883,6581.129883,48302130000
2018-04-01,6528.229980,6856.959961,6322.600098,6605.569824,6605.569824,42932190000
2018-05-01,6592.930176,7016.419922,6539.870117,6967.729980,6967.729980,45405220000
2018-06-01,7010.080078,7309.990234,6950.229980,7040.799805,7040.799805,48285960000
2018-07-01,6979.540039,7511.390137,6969.160156,7231.979980,7231.979980,38625490000
2018-08-01,7269.200195,7691.100098,7221.350098,7654.549805,7654.549805,45900880000
2018-09-01,7629.339844,7657.799805,7400.990234,7627.649902,7627.649902,44536490000
2018-10-01,7673.000000,7700.560059,6574.750000,6967.100098,6967.100098,61365960000
2018-11-01,6980.790039,7205.959961,6442.359863,6949.009766,6949.009766,48560650000
2018-12-01,7106.839844,7107.000000,5895.120117,6329.970215,6329.970215,48787340000
2019-01-01,6198.680176,6936.339844,6139.399902,6906.839844,6906.839844,49197040000
2019-02-01,6872.729980,7161.729980,6836.700195,7097.529785,7097.529785,42304540000
2019-03-01,7152.080078,7505.410156,6940.720215,7378.770020,7378.770020,49135540000
2019-04-01,7450.810059,7851.970215,7422.439941,7781.459961,7781.459961,43162800000
2019-05-01,7828.140137,7851.029785,7125.970215,7127.959961,7127.959961,47401100000
2019-06-01,7110.339844,7772.529785,6936.680176,7671.080078,7671.080078,44495410000
2019-07-01,7816.560059,8027.180176,7735.669922,7848.779785,7848.779785,38991700000
2019-08-01,7866.600098,8000.939941,7356.270020,7691.000000,7691.000000,46079340000
2019-09-01,7634.029785,7975.330078,7584.819824,7749.450195,7749.450195,41462650000
2019-10-01,7782.819824,8119.729980,7463.569824,8083.830078,8083.830078,43976360000
2019-11-01,8121.950195,8445.610352,8111.729980,8403.679688,8403.679688,41581990000
2019-12-01,8409.870117,8811.099609,8167.359863,8733.070313,8733.070313,45938880000
2020-01-01,8802.219727,9272.370117,8713.889648,8991.509766,8991.509766,52456350000
2020-02-01,9033.519531,9736.570313,8133.850098,8461.830078,8461.830078,53633950000
2020-03-01,8569.910156,9000.459961,6771.910156,7813.500000,7813.500000,96874040000
2020-04-01,7582.779785,9025.820313,7423.970215,9000.509766,9000.509766,78697140000
2020-05-01,8791.879883,9573.549805,8665.400391,9555.530273,9555.530273,80634290000
2020-06-01,9526.429688,10306.900391,9489.580078,10156.849609,10156.849609,111455270000
2020-07-01,10160.410156,11069.259766,10142.750000,10905.879883,10905.879883,94321170000
2020-08-01,11018.019531,12167.459961,10855.059570,12110.700195,12110.700195,78408230000
2020-09-01,12203.360352,12439.480469,10677.849609,11418.059570,11418.059570,82059450000
2020-10-01,11554.959961,12204.750000,10960.019531,11052.950195,11052.950195,77827120000
2020-11-01,11152.480469,12306.709961,10957.110352,12268.320313,12268.320313,90598610000
2020-12-01,12387.620117,12925.530273,12226.129883,12888.280273,12888.280273,111707090000
2021-01-01,12950.219727,13563.700195,12537.419922,12925.379883,12925.379883,138076160000
2021-02-01,13067.650391,13879.769531,12758.120117,12909.440430,12909.440430,140197980000
2021-03-01,13106.019531,13301.620117,12208.389648,13091.440430,13091.440430,133298300000
2021-04-01,13268.879883,14073.480469,13255.820313,13860.759766,13860.759766,91050570000
2021-05-01,13923.040039,13955.000000,12967.179688,13686.509766,13686.509766,88957750000
2021-06-01,13764.269531,14582.299805,13469.849609,14554.799805,14554.799805,107636930000
2021-07-01,14530.629883,15142.349609,14455.070313,14959.900391,14959.900391,88145720000
2021-08-01,15046.099609,15620.620117,14773.190430,15582.509766,15582.509766,87630170000
2021-09-01,15637.129883,15701.400391,14684.549805,14689.620117,14689.620117,94713820000
2021-10-01,14731.379883,15856.900391,14384.929688,15850.469727,15850.469727,98654030000
2021-11-01,15879.610352,16764.859375,15785.309570,16135.919922,16135.919922,108529440000
2021-12-01,16347.959961,16607.189453,15508.740234,16320.080078,16320.080078,103643460000
2022-01-01,16395.509766,16513.869141,13724.849609,14930.049805,14930.049805,99683390000
2022-02-01,14966.599609,15196.400391,13065.440430,14237.809570,14237.809570,89103860000
2022-03-01,14197.660156,15265.419922,13020.400391,14838.490234,14838.490234,130226950000
2022-04-01,14886.910156,15161.889648,14723.830078,14820.639648,14820.639648,14289620000
